Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE201,Antenna,RF-ANT-NRF52840_SHORTEND,163.43,-63.151,-90,top
C102,Conn_01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,125.032,-88.348,90,top
C201,1uF,C_0402_1005Metric,143.95,-65.65,180,top
C202,12p,C_0402_1005Metric,153.145,-58.9,0,top
C203,4.7uF,C_0603_1608Metric,141.425,-64.225,0,top
C204,12p,C_0402_1005Metric,151.215,-58.9,180,top
C205,100nF,C_0402_1005Metric,149.775,-58.47,90,top
C206,100nF,C_0402_1005Metric,152.2,-68.25,0,top
C207,100nF,C_0402_1005Metric,143.945,-60.65,180,top
C208,0.8pF,C_0402_1005Metric,153.55,-62.7,90,top
C209,0.5pF,C_0402_1005Metric,156.5,-62.675,90,top
C210,NM,C_0402_1005Metric,157.5,-62.67,90,top
C211,100nF,C_0402_1005Metric,143.95,-61.65,180,top
C212,NM,C_0402_1005Metric,153.98,-64.15,0,top
C213,1.2pF,C_0402_1005Metric,162.075,-62.67,90,top
C214,100pF,C_0402_1005Metric,153.99,-60.26,0,top
C215,1uF,C_0402_1005Metric,146.94,-58.89,90,top
C216,NM,C_0402_1005Metric,153.995,-61.25,0,top
C217,NM,C_0402_1005Metric,148.775,-58.475,90,top
C218,4.7uF,C_0603_1608Metric,141.45,-65.8,180,top
C219,100nF,C_0402_1005Metric,146.345,-75.025,0,top
C220,100nF,C_0402_1005Metric,141.595,-56.05,180,top
C301,100nF,C_0402_1005Metric,135.5,-83.17,90,top
C302,1uF,C_0402_1005Metric,136.05,-77.7,180,top
C303,1uF,C_0402_1005Metric,137,-75.14,180,top
C304,100nF,C_0402_1005Metric,141.535,-72.565,90,top
C305,10uF,C_0603_1608Metric,145.96,-80.375,0,top
C306,10uF,C_0603_1608Metric,136.43,-76.43,180,top
C307,1uF,C_0402_1005Metric,141.98,-81.37,0,top
C308,10uF,C_0603_1608Metric,146.025,-76.325,0,top
C309,1uF,C_0402_1005Metric,136.1,-79.2,180,top
CON101,USB C,CON_USB_C_G-Switch_GT-USB-7010ASV,124.3,-75.341,-90,top
CON103,SM02B-ZESS-TB,CON-SM02B-ZESS_TB,146.28,-89.286,0,top
CON201,TC2050-FP,CON-TAG-CONNECT_TC2050-IDC,133.69,-60.285,90,top
CON202,MM8130-2600,CON-BNC-MM8130-2600,159.8,-63.15,90,top
CON203,IO,PinHeader_1x10_P2.54mm_Vertical,159.9,-67.02,0,top
D101,USBLC6-2,SOT-23-6,132.7,-75.85,90,top
D201,BLUE,D_0603_1608Metric,145.65,-57.325,90,top
FID101,Fiducial,Fiducial_1mm_Mask2mm,139.36,-56.981,0,top
FID102,Fiducial,Fiducial_1mm_Mask2mm,158.36,-55.981,0,top
FID103,Fiducial,Fiducial_1mm_Mask2mm,130.36,-84.981,0,top
FID104,Fiducial,Fiducial_1mm_Mask2mm,164.86,-87.981,0,top
IC201,NRF52840,AQFN_73-EP_7x7mm_P0.5mm,148.95,-63.875,0,top
IC202,IC-SHT40-AD1B,DNF-1.5x1.5_H0.54-SHT40-AD1B,141.675,-57.89,90,top
IC203,MX25R6435F,SOP-8_5.28x5.23mm_P1.27mm,149.52,-71.636,90,top
IC301,BQ297xy,WSON-6_1.5x1.5mm_P0.5mm,137.225,-83.35,180,top
IC302,NPM1300,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm_ThermalVias,141.285,-77.135,180,top
L201,4.7nH,L_0402_1005Metric,155.025,-63.15,0,top
L301,2.2uH,L_0806,145.96,-78.25,0,top
PCB101,Tooling Hole JLCPCB,PCB-TH-NP-JLCPCB,128.86,-61.481,0,top
PCB102,Tooling Hole JLCPCB,PCB-TH-NP-JLCPCB,158.36,-58.981,0,top
PCB103,Tooling Hole JLCPCB,PCB-TH-NP-JLCPCB,136.86,-90.981,0,top
PCB104,Tooling Hole JLCPCB,PCB-TH-NP-JLCPCB,164.86,-85.481,0,top
R201,330,R_0402_1005Metric,144.325,-57.0525,90,top
R202,4.7k,R_0402_1005Metric,143.29,-58.1,-90,top
R203,4.7k,R_0402_1005Metric,140.525,-70.625,0,top
R204,4.7k,R_0402_1005Metric,140.765,-59.725,0,top
R205,4.7k,R_0402_1005Metric,139.975,-69.5,0,top
R208,100k,R_0402_1005Metric,147.22,-55.3,0,top
R209,0,R_0402_1005Metric,147.75,-56.79,-90,top
R210,75k,R_0402_1005Metric,149.25,-56.29,0,top
R301,10k,R_0402_1005Metric,133.45,-90.3,0,top
R302,330,R_0402_1005Metric,133.775,-85.4,180,top
R303,2k,R_0402_1005Metric,137.19,-84.95,0,top
R304,330,R_0402_1005Metric,134.5,-83.175,-90,top
R305,47k,R_0402_1005Metric,139.535,-72.595,90,top
R306,0,R_0402_1005Metric,138.505,-72.61,90,top
R307,0,R_0402_1005Metric,142.555,-72.56,-90,top
SW301,TS-1187A,SW-PUSH-DPST-XKS-TS-1187A,153.785,-78.363,-90,top
SW302,TS-1187A,SW-PUSH-DPST-XKS-TS-1187A,124.86,-65.031,90,top
T301,Si2312BDS,SOT-23,133.35,-87.71,0,top
T302,DMG6968UDM,SOT-23-6,137.675,-87.725,180,top
X201,32MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,152.85,-56.65,180,top
