Designator,Footprint,Quantity,Value,LCSC Part #
AE201,Texas_SWRA117D_2.4GHz_Right,1,Antenna_Shield,
"C201, C205",0402,2,12pF,C1547
C202,0402,1,10nF,C15195
"C203, C215",0402,2,1uF,C15525
"C204, C219, C305, C306, C308",0603,5,10uF,C96446
"C206, C207, C208, C212, C214, C217, C218, C220, C221, C301, C304",0402,11,100nF,C1525
C209,0402,1,0.8pF, C327032
"C210, C211",0402,2,0.5pF,C285052
C213,0402,1,1.2pF,
C216,0402,1,100pF,C1546
"C302, C303, C307, C309",0402,4,1uF,C52923
CON101,CON-GEN-USB_C-16P,1,G Switch GT USB 7010ASV,C2988369
"CON102, CON103",CON-SM02B-ZESS_TB,2,SM02B-ZESS-TB,
CON201,CON-TAG-CONNECT_TC2050-IDC,1,TC2050-FP,
D101,SOT-23-6,1,USBLC6-2,C7519
D201,0603,1,BLUE,C72041
D301,0603,1,GREEN,C72043
D302,0603,1,RED,C2286
"FID101, FID102, FID103, FID104",Fiducal-JLCPCB,4,Fiducal-JLCPPCB,
IC201,Nordic_AQFN-73-1EP_7x7mm_P0.5mm,1,NRF52840,C190794
IC202,DNF-1.5x1.5_H0.54-SHT40-AD1B_THPAD,1,IC_SENS-SHT40-AD1B_THP,
IC301,WSON-6_1.5x1.5mm_P0.5mm,1,IC_PWREG-BQ29700,C183096
IC302,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm_ThermalVias,1,IC_PWREG-NPM1300,
J201,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
L201,0402,1,4.7nH,C370227
L301,L_0806,1,2.2uH,    C2838367
"MH101, MH102, MH103, MH104",MountingHole_2.5mm_Pad_Via,4,~,
"PCB101, PCB102, PCB103, PCB104",PCB-NPTH-JLCPCB,4,Tooling Hole JLCPCB,
R201,0402,1,1k,C11702
"R202, R209, R301",0402,3,10k,C25744
"R203, R205, R210",0402,3,1M,C138033
"R204, R206, R207, R208",0402,4,4k7, C25900
R211,0402,1,750k,C137937
R302,0402,1,2k,C4109
R303,0402,1,330,C25104
R304,0402,1,200k,C25764
R305,0402,1,0,C17168
R306,0603,1,10k,C142556
"SW201, SW202",SW-PUSH-DPST-XKS-TS-1187A,2,SW-GEN-TS-1187A,C318884
T301,SOT-23,1,SI2312BDS, C351405 
T302,SOT-23-6,1,DMG6968UDM, C2762931
"TP201, TP202, TP203, TP204, TP205, TP301, TP302, TP307, TP308, TP311, TP313, TP314",TP_Pad_D0.9mm,12,TP,
"TP304, TP309, TP310",TP_THT_D0.8mm,3,Testpoint-BASE,
X201,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,32MHz,C2901708
